AlumBand,TransFreq,Date,Fate,Lat1,Long1,Bear1,Lat2,Long2,Bear2,Lat3,Long3,Bear3,Notes,Recovered,Downloaded,
142,150.111,6/14/2020,L,44.30151,70.88898,90,,,,,,,,,,
144,149.002,3/18/2020,L,44.29844,-70.38329,192,,,,,,,,,,
144,149.002,3/26/2020,L,44.29652,-70.39456,170,,,,,,,Faint,,,
144,149.002,4/1/2020,L,44.29686,-70.38960,60,,,,,,,,,,
144,149.002,4/8/2020,L,44.29699,-70.38895,160,,,,,,,,,,
144,149.002,4/16/2020,L,44.29699,-70.38895,150,,,,,,,,,,
144,149.002,4/22/2020,L,44.285399,-70.361472,280,,,,,,,,,,
144,149.002,4/29/2020,L,44.285399,-70.361472,200,,,,,,,,,,
144,149.002,5/6/2020,D,44.30914,-70.40533,,,,,,,,Harvest on 5/6/2020 in Buckfield,Y,,
147,149.172,3/18/2020,L,44.29844,-70.38329,192,,,,,,,,,,
147,149.172,3/26/2020,L,44.29652,-70.39436,210,,,,,,,,,,
147,149.172,4/1/2020,L,44.29686,-70.38960,260,,,,,,,,,,
147,149.172,4/8/2020,L,44.29699,-70.38895,280,,,,,,,,,,
147,149.172,4/16/2020,L,44.29699,-70.38895,220,,,,,,,,,,
147,149.172,4/22/2020,L,44.299385,-70.383526,190,,,,,,,,,,
147,149.172,4/29/2020,L,44.299385,-70.383526,20,,,,,,,,,,
147,149.172,5/7/2020,L,44.299184,-70.383962,128,,,,,,,,,,
147,149.172,5/12/2020,D,44.30018,-70.36330,,,,,,,,Mortality.  Straps and antennae chewed off.  Feahters around transmitter.  Found adjacent to what appears to be a bait site for predators in front of two game cameras.,Y,,
148,149.223,3/18/2020,L,44.29844,-70.38329,192,,,,,,,,,,
148,149.223,3/26/2020,L,44.29652,-70.39436,210,,,,,,,,,,
148,149.223,4/1/2020,L,44.29686,-70.38960,260,,,,,,,,,,
148,149.223,4/8/2020,L,44.29699,-70.38895,280,,,,,,,,,,
148,149.223,4/16/2020,L,44.29699,-70.38895,220,,,,,,,,,,
148,149.223,4/22/2020,L,44.299385,-70.383526,250,,,,,,,,,,
148,149.223,4/29/2020,L,44.299385,-70.383526,20,,,,,,,,,,
148,149.223,5/7/2020,L,44.299184,-70.383962,240,,,,,,,,,,
148,149.223,5/12/2020,L,44.29946,-70.38357,40,,,,,,,,,,
148,149.223,5/19/2020,L,44.29938,-70.38347,184,,,,,,,,,,
148,149.223,5/28/2020,L,44.29937,-70.38331,50,,,,,,,,,,
148,149.223,6/8/2020,L,44.29937,-70.38331,30,,,,,,,,,,
148,149.223,6/14/2020,L,44.30151,70.88898,135,,,,,,,,,,
148,149.223,6/28/2020,L,44.29999,-70.38375,90,,,,,,,,,,
155,150.7125,2/26/2020,L,44.78858,-68.94536,16,,,,,,,,,,
155,150.7125,3/4/2020,L,44.79035,-68.94096,,,,,,,,Visual at Herb's,,,
155,150.7125,3/9/2020,L,44.79802,-68.93187,102,,,,,,,,,,
155,150.7125,3/17/2020,L,44.80565,-68.92726,,,,,,,,,,,
155,150.712,4/21/2020,L,44.80575,-68.92721,65,,,,,,,,,,
155,150.712,5/5/2020,L,44.80571,-68.92723,128,,,,,,,,,,
157,150.132,2/26/2020,L,44.78858,-68.94536,16,,,,,,,,,,
157,150.132,3/4/2020,L,44.79035,-68.94096,,,,,,,,Visual at Herb's,,,
157,150.132,3/9/2020,L,44.79802,-68.93187,102,,,,,,,,,,
157,150.132,3/17/2020,L,44.79649,-68.92237,,,,,,,,,,,
251,149.455,3/1/2018,L,45.06468,-68.45943,,,,,,,,,,,
251,149.455,3/5/2018,L,45.06053,-68.44720,,,,,,,,,,,
251,149.455,3/12/2018,L,45.06080,-68.44786,,,,,,,,,,,
251,149.455,3/20/2018,L,45.06057,-68.44740,,,,,,,,,,,
251,149.455,3/27/2018,L,45.06312,-68.45350,NW,,,,,,,,,,
251,149.455,4/11/2018,NA,45.06063,-68.44734,W,,,,,,,,,,
251,149.455,4/18/2018,NA,45.07154,-68.45435,91,,,,,,,,,Y,
251,149.455,4/23/2018,L,45.05766,-68.43903,90,,,,,,,,,,
251,149.454,4/30/2018,L,45.04945,-68.43072,50,,,,,,,downloaded,,,
251,149.454,5/9/2018,L,45.09649,-68.41798,50,,,,,,,Downloaded,,,
251,149.454,5/16/2018,L,45.09653,-68.41099,,,,,,,,,,,
251,149.455,5/23/2018,L,45.09653,-68.41083,,,,,,,,downloaded,,,
251,149.455,5/28/2018,L,45.09656,-68.41104,,,,,,,,downloaded,,,
251,149.455,6/6/2018,L,45.09161,-68.43047,,,,,,,,"downloaded, off nest",,,
251,149.455,6/13/2018,L,45.07722,-68.43680,,,,,,,,downloaded,,,
251,149.455,6/22/2018,L,45.08540,-68.42882,,,,,,,,downloaded,,,
251,149.456,7/2/2018,L,45.09651,-68.41798,0,,,,,,,,,,
251,149.456,7/10/2018,L,45.09653,-68.41808,230,,,,,,,,,,
251,149.456,7/16/2018,L,45.09531,-68.44263,,,,,,,,,,,
251,149.456,7/25/2018,L,45.09529,-68.42175,60,,,,,,,,,,
251,149.456,8/1/2018,L,45.09111,-68.42851,233,,,,,,,,,,
251,149.456,8/8/2018,L,,,,,,,,,,,,,
251,149.456,8/16/2018,L,,,,,,,,,,,,,
251,149.456,8/21/2018,L,45.04838,-68.42934,45,,,,,,,,,,
251,149.456,8/28/2018,L,,,,,,,,,,,,,
251,149.456,9/3/2018,L,,,,,,,,,,,,,
251,149.456,9/14/2018,L,45.04851,-68.42950,30,,,,,,,,,,
251,149.456,9/19/2018,L,45.05527,-68.43581,80,,,,,,,,,,
251,149.456,9/28/2018,L,45.05064,-68.43234,200,,,,,,,,,,
251,149.456,10/4/2018,L,45.05750,-68.43880,70,,,,,,,,,,
251,149.456,10/12/2018,L,45.05637,-68.43722,240,,,,,,,,,,
251,149.456,10/15/2018,L,45.05452,-68.43504,160,,,,,,,,,,
251,149.456,10/18/2018,L,45.04880,-68.42997,30,,,,,,,,,,
251,149.456,10/26/2018,L,,,,,,,,,,,,Y,
251,149.456,10/30/2018,L,45.04897,-68.47810,120,,,,,,,,,,
251,149.456,11/9/2018,L,45.05040,-68.43211,35,,,,,,,,,,
251,149.456,11/21/2018,L,45.05391,-68.43475,90,,,,,,,,,,
251,149.456,11/30/2018,L,45.04889,-68.47831,90,,,,,,,,,,
251,149.456,12/6/2018,L,45.04825,-68.42921,110,,,,,,,,,,
251,149.456,12/12/2018,L,45.04758,-68.42822,,,,,,,,,,Y,
251,149.456,12/19/2018,L,45.04888,-68.42992,,,,,,,,"In Road, lots of turkeys",,,
251,149.454,12/25/2018,L,45.04885,-68.47832,120,,,,,,,,,,
251,149.456,1/2/2019,L,45.04752,-68.42828,54,,,,,,,,,Y,
251,149.454,1/15/2019,L,45.04756,-68.42818,31,,,,,,,,,Y,
251,149.454,1/21/2019,L,45.04752,-68.42831,327,,,,,,,,,,
251,149.454,1/30/2019,L,45.04744,-68.42813,341,,,,,,,,,,
251,149.454,2/4/2019,L,45.04742,-68.42815,343,,,,,,,,,,
251,149.454,2/11/2019,L,45.04742,-68.42817,94,,,,,,,,,,
251,149.454,2/20/2019,L,45.04759,-68.42834,355,,,,,,,,,,
251,149.454,2/25/2019,L,45.04683,-68.48188,302,,,,,,,,,,
251,149.454,3/5/2019,L,45.04716,-68.42800,22,,,,,,,,,,
251,149.454,3/13/2019,L,45.04716,-68.42800,345,,,,,,,,,,
251,149.454,3/18/2019,L,45.04732,-68.42890,102,,,,,,,,,,
251,149.454,7/9/2019,,,,,,,,,,,Assumed Transmitter Died,Y,,
254,149.023,3/27/2018,L,45.08113,-68.89517,E,,,,,,,,,,
254,149.023,4/3/2018,L,45.08133,-68.89676,E,,,,,,,,,,
254,149.023,4/9/2018,L,45.08130,-68.89676,NE,,,,,,,,,,
254,149.023,4/17/2018,L,508176.00000,4991918.00000,93,509563,4991602,56,501441,4991467,2,,,,
254,149.023,4/20/2018,L,509552.00000,4991515.00000,90,510394,4991474,29,509022,4991197,118,,,,
254,149.023,4/23/2018,L,509542.00000,4991453.00000,118,,,,,,,,,,
254,149.023,4/25/2018,L,508162.00000,4991895.00000,107,509548,4991499,85,,,,,,,
254,149.023,4/27/2018,L,409542.00000,4991508.00000,104,,,,,,,,,,
254,149.023,5/1/2018,L,509464.00000,4991492.00000,208,,,,,,,,,,
254,149.023,5/3/2018,L,509561.00000,4991516.00000,112,510386,4991498,38,,,,,,,
254,149.023,5/10/2018,L,510368.00000,4991739.00000,138,510378,4991704,354,,,,,,,
254,149.023,5/14/2018,D,510404.00000,4991793.00000,0,,,,,,,BIRD INTACT BUT DECAYING FROM RAIN,Y,,
256,149.244,3/27/2018,L,45.08113,-68.89517,E,,,,,,,,,,
256,149.244,4/3/2018,L,45.08133,-68.89676,E,,,,,,,,,,
256,149.244,4/9/2018,L,45.08130,-68.89676,NE,,,,,,,,,,
256,149.244,4/17/2018,L,508176.00000,4991918.00000,109,,,,,,,,,,
256,149.244,4/20/2018,L,509552.00000,4991515.00000,90,,,,,,,,,,
256,149.244,4/23/2018,L,509542.00000,4991453.00000,48,,,,,,,,,,
256,149.244,4/25/2018,L,509552.00000,4991515.00000,42,,,,,,,,,,
256,149.244,4/27/2018,L,509552.00000,4991515.00000,312,,,,,,,,,,
256,149.244,5/1/2018,L,509552.00000,4991515.00000,58,,,,,,,,,,
256,149.244,5/3/2018,L,509552.00000,4991515.00000,196,,,,,,,,,,
256,149.244,5/7/2018,NA,,,,,,,,,,,,,
256,149.244,5/9/2018,NA,,,,,,,,,,,,,
256,149.244,5/11/2018,L,509965.00000,4993060.00000,186,,,,,,,,,,
256,149.244,7/9/2018,NA,,,,,,,,,,,,,
256,149.245,7/16/2018,NA,,,,,,,,,,,,,
256,149.245,7/31/2018,NA,,,,,,,,,,,,,
256,149.245,8/13/2018,NA,,,,,,,,,,,,,
256,149.245,8/22/2018,NA,,,,,,,,,,,,,
256,149.245,10/26/2018,L,45.15403,-69.01286,35,,,,,,,,,,
256,149.245,10/30/2018,L,45.17819,-68.99799,160,,,,,,,,,,
256,149.245,11/5/2018,L,45.16943,-69.01791,99,,,,,,,,,,
256,149.245,11/17/2018,L,45.15453,-69.01347,31,,,,,,,,,,
256,149.245,11/21/2018,L,45.15664,-69.01448,110,,,,,,,,,,
256,149.245,11/26/2018,L,44.15319,-69.01147,40,,,,,,,,,,
256,149.245,12/2/2018,L,45.16975,-69.01777,333,,,,,,,,,,
256,149.245,12/12/2018,L,45.15635,-69.01435,,,,,,,,,,,
256,149.245,12/20/2018,L,45.16006,-69.01529,,,,,,,,"Next to Halfbuilt house on Atkinson Rd, w/ other birds",,,
256,149.243,12/24/2018,L,45.16129,-69.01567,124,,,,,,,,,,
256,149.243,12/31/2018,L,45.15968,-69.01524,110,,,,,,,,,,
256,149.243,1/10/2019,L,45.15735,-69.01463,29,,,,,,,,,,
256,149.243,1/17/2019,L,45.15285,-69.01133,353,,,,,,,,,,
256,149.243,1/23/2019,L,45.15520,-69.01394,23,,,,,,,,,,
256,149.243,1/30/2019,L,45.18138,-69.02714,212,,,,,,,,,,
256,149.243,2/20/2019,L,45.16710,-69.01709,260,,,,,,,,,,
256,149.243,2/27/2019,L,45.16710,-69.01709,,Saw Flock,,,,,,,,,
256,149.243,3/6/2019,L,45.16710,-69.01709,245,,,,,,,,,,
256,149.243,3/14/2019,L,45.16710,-69.01709,175,,,,,,,,,,
256,149.243,3/18/2019,L,45.16710,-69.01709,224,,,,,,,,,,
256,149.243,3/26/2019,L,45.15683,-69.01454,330,,,,,,,,,,
256,149.243,4/10/2019,L,45.16710,-69.01709,288,,,,,,,,,,
256,149.243,4/17/2019,L,45.15297,-69.01159,175,,,,,,,,,,
256,149.242,7/8/2019,L,45.22505,-68.94480,33,,,,,,,,,,
256,149.242,7/17/2019,L,45.22502,-68.94476,71,,,,,,,,,,
256,149.242,7/22/2019,L,45.22943,-68.94395,188,,,,,,,,,,
256,149.242,8/2/2019,L,45.22796,-68.93237,330,,,,,,,,,,
256,149.242,8/6/2019,L,,,,,,,,,,,,,
256,149.242,8/14/2019,L,45.22687,-68.93066,45,,,,,,,,,,
256,149.242,8/20/2019,L,45.23007,-68.94112,142,,,,,,,,,,
256,149.242,8/30/2019,L,45.23093,-68.95455,169,,,,,,,,,,
256,149.242,9/9/2019,L,45.22950,-68.94399,140,,,,,,,,,,
256,149.242,9/25/2019,L,45.22794,-68.93234,220,,,,,,,,,,
258,149.385,3/28/2018,L,45.07774,-68.91740,N,,,,,,,,,,
258,149.385,4/3/2018,NA,45.08133,-68.89676,NW,,,,,,,,,,
258,149.385,4/9/2018,L,45.08130,-68.89676,SW,,,,,,,,,,
258,149.385,4/17/2018,L,508158.00000,4991915.00000,93,,,,,,,,,,
258,149.385,4/23/2018,L,506189.00000,4992814.00000,283,,,,,,,,,,
258,149.385,4/25/2018,L,506189.00000,4992814.00000,,,,,,,,,,,
258,149.385,4/27/2018,L,506189.00000,4992814.00000,,,,,,,,,,,
258,149.385,5/1/2018,L,506189.00000,4992814.00000,,,,,,,,,,,
258,149.385,5/3/2018,L,45.10089,-68.92650,270,,,,,,,downloaded,,,
258,149.385,5/3/2018,L,506189.00000,4992814.00000,,,,,,,,,,,
258,149.384,5/8/2018,L,45.10244,-68.95815,90,,,,,,,Downloaded,,,
258,149.385,5/8/2018,L,506189.00000,4992814.00000,,,,,,,,,,,
258,149.385,5/24/2018,L,45.10105,-68.94834,,,,,,,,downloaded,,,
258,149.385,5/31/2018,L,45.10106,-68.94841,,,,,,,,downloaded,,,
258,149.385,6/6/2018,L,45.10106,-68.94841,,,,,,,,downloaded,,,
258,149.385,6/15/2018,L,45.10439,-68.96124,,,,,,,,downloaded,,,
258,149.385,6/22/2018,L,45.10067,-69.00215,,,,,,,,"downloaded, visual in field with 1 hen.",,,
258,149.385,6/29/2018,L,,,,,,,,,,,,,
258,149.386,7/4/2018,L,45.09125,-68.99774,0,,,,,,,,,,
258,149.386,7/9/2018,L,45.10582,-69.00539,100,,,,,,,,,,
258,149.386,7/19/2018,L,45.10375,-69.00413,,,,,,,,,,,
258,149.386,7/26/2018,L,45.09749,-68.99016,246,,,,,,,,,,
258,149.386,7/31/2018,L,45.10290,-69.00318,89,,,,,,,,,,
258,149.386,8/7/2018,L,45.09589,-68.99122,282,,,,,,,,,,
258,149.386,8/13/2018,L,45.10610,-69.00560,30,,,,,,,,,,
258,149.386,8/22/2018,L,,,,,,,,,,,,,
258,149.386,8/27/2018,L,,,,,,,,,,,,,
258,149.386,9/3/2018,L,45.10577,-69.00726,,,,,,,,,,,
258,149.386,9/10/2018,L,45.10519,-69.01178,270,,,,,,,,,,
258,149.386,9/18/2018,l,45.10563,-69.00854,180,,,,,,,,,X,
258,149.386,9/25/2018,L,45.08892,-69.01620,44,,,,,,,,,,
258,149.386,10/1/2018,L,45.10209,-68.97057,167,,,,,,,,,X,
258,149.386,10/12/2018,L,45.10243,-68.95798,270,,,,,,,,,,
258,149.386,10/15/2018,L,45.10527,-69.01150,274,,,,,,,,,,
258,149.386,10/22/2018,L,45.10114,-69.02248,271,,,,,,,,,X,
258,149.386,10/30/2018,L,45.08819,-69.01938,45,,,,,,,,,,
258,149.386,11/2/2018,L,,,,,,,,,,,,,
258,149.386,11/5/2018,L,45.09459,-68.98922,3,,,,,,,,,,
258,149.386,11/10/2018,D,,,,,,,,,,,,,
258,149.386,11/17/2018,,45.09605,-69.01110,113,,,,,,,,,Y,
258,149.386,12/12/2018,,45.09200,-69.00607,,,,,,,,D,Y,,
259,149.175,2/22/2018,L,44.98483,-69.13674,,,,,,,,,,,
259,149.175,3/1/2018,L,44.98471,-69.13633,,,,,,,,,,,
259,149.175,3/7/2018,L,44.98497,-69.13661,,,,,,,,,,,
259,149.175,3/17/2018,L,49.98475,-69.13670,,,,,,,,,,,
259,149.175,3/20/2018,D,44.97494,-69.14235,,,,,,,,,Y,,
260,149.175,3/27/2018,L,45.08113,-68.89517,E,,,,,,,,,,
260,149.175,4/3/2018,L,45.08133,-68.89676,E,,,,,,,,,,
260,149.175,4/9/2018,L,45.08130,-68.89676,N,,,,,,,,,,
260,149.175,4/17/2018,L,508158.00000,4991915.00000,93,,,,,,,,,,
260,149.175,4/19/2018,L,45.09278,-68.86017,SW,,,,,,,,,Y,
260,149.175,4/20/2018,L,45.09354,-68.85487,270,,,,,,,,,,
260,149.175,7/9/2018,NA,,,,,,,,,,,,,
260,149.176,7/16/2018,NA,,,,,,,,,,,,,
260,149.176,7/31/2018,NA,,,,,,,,,,,,,
260,149.176,8/13/2018,NA,,,,,,,,,,,,,
260,149.176,8/22/2018,NA,,,,,,,,,,,,,
260,149.175,8/5/2019,,,,,,,,,,,"Lost GPS Transmitter, Presumed Dead transmitter, not actually retrieved",Y,,
261,149.394,3/27/2018,L,45.08126,-68.89682,N,,,,,,,,,,
261,149.394,4/3/2018,L,45.08133,-68.89676,NW,,,,,,,,,,
261,149.394,4/9/2018,L,45.08130,-68.89676,SW,,,,,,,,,,
261,149.394,7/9/2018,L,45.06768,-68.93266,300,,,,,,,,,,
261,149.394,7/12/2018,L,45.06624,-68.94350,290,,,,,,,,,,
261,149.395,7/16/2018,L,45.07393,-68.93910,200,,,,,,,,,,
261,149.395,7/26/2018,L,45.07104,-68.93797,310,,,,,,,behind horse field across from cemetery,,,
261,149.395,7/31/2018,L,45.07135,-68.93825,258,,,,,,,,,,
261,149.395,8/7/2018,L,45.07739,-68.94109,319,,,,,,,,,,
261,149.395,8/13/2018,L,45.07173,-68.93831,250,,,,,,,,,,
261,149.395,8/22/2018,D,,,,,,,,,,,,,
261,149.395,8/27/2018,,,,,,,,,,,D,,,
261,149.395,9/18/2018,,45.06939,-68.93945,,,,,,,,D,Y,,
265,149.152,3/27/2018,L,45.00126,-68.89682,N,,,,,,,,,,
265,149.152,4/3/2018,L,45.08133,-68.89676,NW,,,,,,,,,,
265,149.152,4/9/2018,L,45.08130,-68.89676,SW,,,,,,,,,,
265,149.152,4/19/2018,NA,45.09431,-68.96746,N,,,,,,,,,Y,
265,149.152,7/9/2018,L,45.07689,-68.91722,90,,,,,,,,,,
265,149.152,7/12/2018,L,45.08024,-68.91799,85,,,,,,,,,,
265,149.153,7/16/2018,L,45.07919,-68.91775,310,,,,,,,,,,
265,149.153,7/26/2018,L,45.07037,-68.91354,17,,,,,,,in woods on edge of field,,,
265,149.153,7/31/2018,L,45.07033,-68.91297,139,,,,,,,,,,
265,149.153,8/7/2018,L,45.07687,-68.91710,113,,,,,,,,,,
265,149.153,8/13/2018,L,45.07660,-68.91708,30,,,,,,,,,,
265,149.153,8/22/2018,L,,,,,,,,,,,,,
265,149.153,8/27/2018,L,45.09628,-68.90035,,,,,,,,,,,
265,149.153,9/3/2018,L,45.07995,-68.91790,40,,,,,,,,,,
265,149.153,9/10/2018,L,45.07767,-68.91744,45,,,,,,,,,,
265,149.153,9/18/2018,L,45.09570,-68.90002,120,,,,,,,,,,
265,149.153,9/25/2018,L,45.08926,-68.97700,131,,,,,,,,,,
265,149.153,10/1/2018,L,45.08896,-68.92154,40,,,,,,,,,,
265,149.153,10/12/2018,L,45.07706,-68.91724,20,,,,,,,,,,
265,149.153,10/15/2018,L,45.08829,-68.92084,243,,,,,,,,,,
265,149.153,10/22/2018,L,45.08821,-68.92074,41,,,,,,,,,,
265,149.153,10/30/2018,L,45.09605,-68.95457,0,,,,,,,,,,
265,149.153,11/5/2018,L,45.01116,-68.99702,12,,,,,,,,,,
265,149.153,11/12/2018,L,45.01247,-68.98943,233,,,,,,,,,,
265,149.153,11/23/2018,L,45.02009,-69.00060,340,,,,,,,,,,
265,149.153,11/26/2018,L,45.01437,-68.99894,158,,,,,,,,,,
265,149.153,12/2/2018,L,45.02174,-69.00126,271,,,,,,,,,,
265,149.153,12/10/2018,L,45.01904,-69.00040,68,,,,,,,,,,
265,149.153,12/20/2018,L,45.01199,-68.99822,85,,,,,,,Somewhere east along 11,,,
265,149.151,12/24/2018,L,45.01791,-69.00002,110,,,,,,,,,,
265,149.151,12/31/2018,L,45.02858,-69.00418,190,,,,,,,,,,
265,149.151,1/10/2019,L,45.02908,-69.00446,156,,,,,,,,,,
265,149.152,1/17/2019,L,45.02145,-69.00101,47,,,,,,,,,,
265,149.152,1/23/2019,L,45.02531,-69.00073,63,,,,,,,,,,
265,149.152,1/30/2019,L,45.02031,-69.00073,76,,,,,,,,,,
265,149.152,2/20/2019,L,45.02036,-69.00081,88,,,,,,,,,,
265,149.152,2/27/2019,L,45.02036,-69.00081,,Saw Flock,,,,,,,,,
265,149.152,3/6/2019,L,45.02036,-69.00081,231,,,,,,,,,,
265,149.152,3/14/2019,L,45.02036,-69.00081,230,,,,,,,,,,
265,149.152,3/18/2019,L,45.02036,-69.00081,235,,,,,,,,,,
265,149.152,3/26/2019,L,45.02036,-69.00081,140,,,,,,,,,,
265,149.152,4/10/2019,L,45.02076,-69.00081,230,,,,,,,,,,
265,149.152,4/17/2019,L,45.00786,-69.01321,346,,,,,,,,,,
265,149.152,5/6/2019,L,45.08014,-68.91686,148,45.07923,68.91775,49,,,,,,,
265,149.152,5/11/2019,L,45.08012,-68.91681,174,45.07913,68.91721,94,,,,,,,
265,149.152,5/13/2019,L,45.08165,-68.91376,263,45.08124,-68.91376,299,-45.08108,68.91454,51,,,,
265,149.152,5/16/2019,L,45.08165,-68.91376,282,45.08238,-68.91405,195,-45.08173,68.91476,130,,,,
265,149.152,5/21/2019,L,45.08165,-68.91376,305,,,,,,,,,,
265,149.152,5/23/2019,L,45.08165,-68.91376,301,,,,,,,,,,
265,149.152,5/27/2019,L,45.08165,-68.91376,314,,,,,,,,,,
265,149.152,5/30/2019,L,45.08152,-68.91438,flushed,,,,,,,flushed off nest.,,,
265,149.152,5/31/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/3/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/5/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/9/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/10/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/11/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/12/2019,L,45.08152,-68.91438,nest,,,,,,,,,,
265,149.152,6/13/2019,L,45.08056,-68.91411,64,,,,,,,,,,
265,149.152,6/17/2019,L,45.08076,-68.91276,145,,,,,,,,,,
265,149.152,6/20/2019,L,45.07689,-68.91707,117,,,,,,,,,,
265,149.152,6/24/2019,L,45.07331,-68.91634,78,,,,,,,,,,
265,149.152,6/27/2019,L,45.07331,-68.91634,54,,,,,,,,,,
265,149.151,7/2/2019,L,45.07344,-68.91638,23,,,,,,,,,,
265,149.151,7/8/2019,L,45.07727,-68.91730,59,,,,,,,,,,
265,149.151,7/17/2019,L,45.07226,-68.91611,48,,,,,,,,,,
265,149.151,7/22/2019,L,45.07695,-68.91723,138,,,,,,,,,,
265,149.151,8/2/2019,L,45.07344,-68.91639,25,,,,,,,,,,
265,149.151,8/6/2019,L,45.07049,-68.91566,20,,,,,,,,,,
265,149.151,8/14/2019,L,45.09362,-68.89964,295,,,,,,,,,,
265,149.151,8/22/2019,L,45.07032,-68.91563,44,,,,,,,,,,
265,149.151,8/30/2019,L,45.06900,-68.92246,90,,,,,,,,,,
265,149.151,9/9/2019,L,45.07040,-68.91566,50,,,,,,,,,,
265,149.151,9/23/2019,L,45.07038,-68.91568,270,,,,,,,,,,
265,149.151,10/27/2019,L,45.02400,-69.00200,,,,,,,,,,,
265,149.151,11/8/2019,L,45.02108,-69.00105,57,,,,,,,,,,
265,149.151,11/20/2019,L,45.03443,-69.01016,110,,,,,,,,,,
265,149.151,12/9/2019,L,45.01201,-68.99792,288,,,,,,,,,,
265,149.151,1/13/2020,D,45.01719,-68.99596,,,,,,,,Burried in snow. Only a few feathers found. Antenna seems chewed. Harness is broken at all attatchment points,Y,,
266,149.629,2/22/2018,L,44.98483,-69.13674,,,,,,,,,,,
266,149.629,3/1/2018,NA,,,,,,,,,,,,,
266,149.629,3/7/2018,L,44.98497,-69.13661,,,,,,,,,,,
266,149.629,3/17/2018,L,49.98475,-69.13670,,,,,,,,,,,
266,149.629,3/20/2018,L,44.98483,-69.13679,SE,,,,,,,,,,
266,149.629,3/29/2018,L,44.98477,-69.13664,,,,,,,,,,,
266,149.629,4/3/2018,L,44.98490,-69.13654,SW,,,,,,,,,,
266,149.629,4/9/2018,L,44.98549,-69.14122,SW,,,,,,,,,,
266,149.633,4/16/2018,L,489091.00000,4982245.00000,46,,,,,,,,,,
266,149.633,4/19/2018,L,44.97834,-69.10295,210,,,,,,,,,,
266,149.633,7/9/2018,NA,,,,,,,,,,,,,
266,149.629,7/16/2018,NA,,,,,,,,,,,,,
266,149.629,7/31/2018,NA,,,,,,,,,,,,,
266,149.629,8/13/2018,NA,,,,,,,,,,,,,
266,149.629,8/22/2018,NA,,,,,,,,,,,,,
272,149.564,2/22/2018,L,44.98483,-69.13674,,,,,,,,,,,
272,149.564,3/1/2018,L,44.98471,-69.13633,,,,,,,,,,,
272,149.564,3/7/2018,L,44.98497,-69.13661,,,,,,,,,,,
272,149.564,3/17/2018,L,49.98475,-69.13670,,,,,,,,,,,
272,149.564,3/20/2018,L,44.98483,-69.13679,SE,,,,,,,,,,
272,149.564,3/29/2018,L,44.95193,-69.12563,,,,,,,,,,,
272,149.564,4/3/2018,L,44.98490,-69.13654,NE,,,,,,,,,,
272,149.564,4/9/2018,L,44.98491,-69.13672,SW,,,,,,,,,,
