J_10,0.133926648,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Real HR,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
1,0.27016129,,,,,,,,,,,,,,,,,,,
2,0.213235294,,,,,,,,,,,,,,,,,,,
3,0.22587269,,,,,,,,,,,,,,,,,,,
4,0.266787659,,,,,,,,,,,,,,,,,,,
5,0.259332024,,,,,,,,,,,,,,,,,,,
6,0.244859813,,,,,,,,,,,,,,,,,,,
7,0.288461538,,,,,,,,,,,,,,,,,,,
8,0.249496982,,,,,,,,,,,,,,,,,,,
9,0.22243346,,,,,,,,,,,,,,,,,,,
10,0.292307692,,,,,,,,,,,,,,,,,,,
11,0.112449799,,,,,,,,,,,,,,,,,,,
12,0.120930233,,,,,,,,,,,,,,,,,,,
13,0.114537445,,,,,,,,,,,,,,,,,,,
14,0.099502488,,,,,,,,,,,,,,,,,,,
15,0.136929461,,,,,,,,,,,,,,,,,,,
16,0.125,,,,,,,,,,,,,,,,,,,
17,0.144329897,,,,,,,,,,,,,,,,,,,
18,0.086124402,,,,,,,,,,,,,,,,,,,
19,0.13215859,,,,,,,,,,,,,,,,,,,
20,0.078817734,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average WSR Bias (Realized - Estimated),,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
1,0.005303457,,,,,,,,,,,,,,,,,,,
2,0.013956867,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Estimated WSR,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
1,0.983359575,,,,,,,,,,,,,,,,,,,
2,0.959713033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Real WSR,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
1,0.988663032,,,,,,,,,,,,,,,,,,,
2,0.9736699,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Proportional Bias by Year - N.A,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
V1,0.015126507,,,,,,,,,,,,,,,,,,,
V2,-0.030765771,,,,,,,,,,,,,,,,,,,
V3,-0.020331446,,,,,,,,,,,,,,,,,,,
V4,-0.042239391,,,,,,,,,,,,,,,,,,,
V5,0.008187582,,,,,,,,,,,,,,,,,,,
V6,-0.015799447,,,,,,,,,,,,,,,,,,,
V7,-0.004543391,,,,,,,,,,,,,,,,,,,
V8,0.00452999,,,,,,,,,,,,,,,,,,,
V9,0.016708423,,,,,,,,,,,,,,,,,,,
V10,0.018951893,,,,,,,,,,,,,,,,,,,
V11,0.010784949,,,,,,,,,,,,,,,,,,,
V12,0.028379455,,,,,,,,,,,,,,,,,,,
V13,0.032032428,,,,,,,,,,,,,,,,,,,
V14,0.010206042,,,,,,,,,,,,,,,,,,,
V15,-0.004938812,,,,,,,,,,,,,,,,,,,
V16,-0.012268708,,,,,,,,,,,,,,,,,,,
V17,-0.022067487,,,,,,,,,,,,,,,,,,,
V18,0.000388292,,,,,,,,,,,,,,,,,,,
V19,0.037551389,,,,,,,,,,,,,,,,,,,
V20,0.008794238,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Proportional Bias by Year - N.J,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
V1,-0.251707097,,,,,,,,,,,,,,,,,,,
V2,0.237587395,,,,,,,,,,,,,,,,,,,
V3,-0.023096703,,,,,,,,,,,,,,,,,,,
V4,0.217869958,,,,,,,,,,,,,,,,,,,
V5,0.060609774,,,,,,,,,,,,,,,,,,,
V6,0.190342652,,,,,,,,,,,,,,,,,,,
V7,0.134532641,,,,,,,,,,,,,,,,,,,
V8,0.196550595,,,,,,,,,,,,,,,,,,,
V9,0.151048736,,,,,,,,,,,,,,,,,,,
V10,0.130171321,,,,,,,,,,,,,,,,,,,
V11,0.155817488,,,,,,,,,,,,,,,,,,,
V12,0.17115361,,,,,,,,,,,,,,,,,,,
V13,0.148334778,,,,,,,,,,,,,,,,,,,
V14,0.126690259,,,,,,,,,,,,,,,,,,,
V15,0.105904355,,,,,,,,,,,,,,,,,,,
V16,0.126061691,,,,,,,,,,,,,,,,,,,
V17,0.136437366,,,,,,,,,,,,,,,,,,,
V18,0.18668637,,,,,,,,,,,,,,,,,,,
V19,0.084432631,,,,,,,,,,,,,,,,,,,
V20,0.142487479,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Real N.A,,,,,,,,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,874,502,674,529,598,555,574,525,532,535,507,510,508,486,495,483,450,431,448,427
2,220,125,195,153,196,184,209,208,218,218,231,243,258,255,262,268,272,287,280,316
3,486,600,515,554,516,533,501,522,485,489,504,503,490,513,482,494,468,483,479,498
4,703,428,658,544,627,607,665,645,685,680,739,722,731,759,786,780,826,828,867,876
5,119,294,190,259,226,240,231,244,262,270,281,269,297,267,293,285,301,299,299,326
6,48,245,141,217,186,211,195,225,215,260,259,286,302,311,324,339,350,385,418,433
7,165,458,302,477,430,518,530,606,623,673,755,797,907,995,1069,1179,1291,1442,1585,1737
8,63,240,137,190,164,199,174,198,174,172,157,169,161,173,169,176,168,172,174,186
9,364,431,389,416,393,398,368,381,360,369,376,358,374,376,371,394,369,387,355,372
10,345,530,436,520,484,555,533,566,566,604,632,691,696,744,810,797,836,861,964,1011
11,425,386,429,415,469,455,452,491,487,535,526,557,588,595,620,623,634,647,679,674
12,331,414,331,367,319,336,307,311,279,265,266,264,257,259,248,252,219,207,211,190
13,889,615,715,614,600,534,508,500,479,451,410,402,353,345,312,305,309,281,282,248
14,644,342,456,361,387,330,324,290,288,267,243,214,221,178,179,166,160,161,152,134
15,953,547,700,570,577,491,463,391,383,357,314,298,265,242,217,195,190,162,148,127
16,912,642,733,566,606,482,510,429,461,407,392,362,339,298,293,260,244,229,222,191
17,847,660,703,587,663,587,593,546,518,471,463,462,420,402,380,383,338,350,333,326
18,490,444,366,302,294,242,209,177,151,133,109,98,79,80,58,46,41,42,28,25
19,618,417,426,305,287,245,211,182,157,135,123,92,84,72,62,51,43,36,33,28
20,834,310,485,297,313,219,208,172,140,118,110,94,78,65,66,52,40,28,36,25
21,397,369,395,373,380,407,421,431,443,437,465,482,480,488,496,529,511,523,500,530
22,871,406,688,498,646,539,593,563,588,585,561,556,560,542,550,540,543,540,532,511
23,298,105,195,136,148,122,124,111,100,99,87,90,71,82,74,72,57,58,53,63
24,503,437,412,343,335,269,275,223,221,178,179,158,142,119,105,88,81,83,65,55
25,394,366,344,308,289,243,243,207,190,169,146,136,125,101,93,82,83,67,82,68
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated N.A,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1023.93696,607.83584,857.8032,694.07104,704.13152,682.15072,723.52736,609.49344,583.96128,594.07936,572.13824,589.8336,564.48768,545.8784,547.00256,581.26816,570.85376,585.17408,518.79424,492.51616
2,273.86272,142.12864,222.656,185.50112,199.48352,240.39936,233.9328,268.7312,247.90848,251.1312,247.4592,269.312,282.78976,307.664,315.60032,282.94944,334.24736,302.02688,316.03744,417.27552
3,645.33984,764.50016,631.72832,662.60672,606.18848,616.68608,593.75584,609.6912,578.55776,560.31488,587.3744,512.79328,517.424,564.23968,575.34656,573.53952,576.81344,595.64352,533.81216,566.22208
4,832.96576,555.14752,833.06944,696.34048,848.87904,704.34048,750.17088,767.32672,843.57344,842.59776,912.9904,878.6256,952.13632,957.04,907.44032,911.70432,1046.54016,986.19872,1056.16128,1064.27328
5,124.77344,320.15008,227.09248,331.96,301.58592,305.65728,284.69152,325.45504,274.84576,330.71168,327.03744,336.79072,312.63936,341.1168,327.40128,345.60352,384.7376,362.4944,351.6704,376.85216
6,73.25856,319.96032,174.2496,289.73344,224.42656,266.85216,265.5824,274.25536,264.91872,305.86624,333.3216,354.93376,372.26208,379.0976,386.78592,432.10528,410.84832,409.55968,485.33856,454.28576
7,249.62464,763.71424,524.2272,766.79136,651.70304,817.48736,847.848,869.62176,1002.91424,997.82816,1192.09632,1244.38368,1371.59104,1446.27488,1719.76128,1960.97056,2019.2896,2297.66976,2405.39552,2650.2608
8,50.05952,281.79328,152.8624,212.74848,192.33792,220.82144,212.92896,191.28416,178.488,176.03616,196.66112,152.6032,166.02048,194.36384,169.44928,207.41152,193.608,168.65024,169.64608,184.08864
9,367.18784,455.86976,380.49088,434.01856,355.7744,385.29984,360.5408,365.5184,340.72608,389.67968,323.3568,368.29088,327.10688,352.89216,327.88224,401.54368,358.35968,435.19488,383.3504,348.37536
10,367.3152,591.22624,532.9552,624.8016,596.19776,678.95968,699.8512,683.29696,700.6096,698.80096,714.35424,749.64032,810.41792,885.29568,937.23296,970.4656,1008.17472,1031.75488,1016.76256,1149.34176
11,478.15808,401.45792,459.85152,441.98656,477.8096,456.7424,497.93984,477.04128,493.00832,519.92448,506.68704,576.23584,604.0464,641.01856,609.84576,656.87808,632.8128,553.368,619.3456,722.0384
12,333.51168,413.824,337.08992,379.3024,331.35968,356.58592,321.00704,315.35712,284.56352,280.02272,278.79776,226.94368,242.96224,249.05824,245.86656,218.54912,242.1536,206.9888,187.68672,161.46176
13,732.88256,506.20512,562.30816,476.1984,488.5216,443.1104,396.49568,381.38432,383.6656,408.9104,331.01056,306.05312,277.99264,278.54208,256.30368,249.68352,212.37504,222.24064,201.67168,182.704
14,457.23808,247.51136,368.65056,300.312,321.04416,255.3168,260.11008,206.90272,199.47808,184.69632,193.75968,171.976,164.3296,136.59008,142.60288,144.00512,115.20832,134.272,98.78336,90.57696
15,717.87616,484.82976,578.83872,449.22464,424.06016,418.272,429.01088,348.79584,334.0672,264.36192,274.66848,248.75648,218.32,213.47136,181.36736,161.90368,140.83008,130.18752,130.87584,123.34752
16,784.92256,614.53568,689.28864,603.44896,602.69728,495.84544,481.17728,388.9152,433.4896,395.85984,370.49792,364.39232,331.7776,310.50112,294.06688,248.82016,238.64096,225.21184,202.33184,205.16672
17,713.37184,609.85856,613.5184,541.93376,557.88896,474.39392,527.74016,483.39264,450.72544,443.55712,361.74912,347.19296,347.3968,343.2848,332.9552,357.73728,322.62208,311.78592,272.80576,291.44544
18,368.5488,324.97312,287.88576,229.09824,202.87904,175.01696,149.81024,133.81664,112.88416,95.24416,78.79808,63.46784,59.752,44.1216,44.06592,40.408,25.47232,34.72544,26.40224,20.48768
19,393.97696,277.95136,276.52416,199.53888,183.66688,148.73024,137.77344,130.43104,84.09792,74.54848,105.28096,62.88448,63.9376,46.75168,49.09824,36.16736,32.7104,21.592,25.28832,18.67296
20,574.71712,235.1872,358.53312,237.76832,224.33184,163.7952,143.60352,114.88064,114.29376,72.30016,81.00832,65.94656,53.48832,41.6928,46.65056,36.58752,27.79808,18.76928,23.2336,16.51872
21,415.5184,357.19072,398.15392,414.07744,394.23904,395.6864,367.856,438.28768,453.4976,445.53856,414.6496,475.17568,485.79904,523.1248,512.272,552.85056,535.7152,544.97344,531.192,523.17024
22,988.95584,520.76704,750.67168,571.56352,615.68352,549.87968,615.42848,586.34528,599.08736,604.32992,642.2176,569.33184,565.28,574.51264,580.00832,589.64352,571.44256,569.58752,509.86816,507.86048
23,264.4688,110.54848,187.79232,112.60288,121.27488,123.0768,101.22016,128.83808,87.38368,85.1376,63.08288,77.03008,55.0768,65.17376,79.31456,61.87808,69.15936,57.69088,46.30272,55.03776
24,365.49152,360.13856,315.70912,278.01152,262.69568,221.9872,208.14112,160.13248,171.14464,148.2832,116.05824,113.3312,118.62432,102.56864,105.88256,61.40032,64.30048,58.05984,54.36384,62.0592
25,291.13408,293.34112,271.53088,268.9472,228.81952,209.58112,163.8928,151.56992,156.35744,143.64928,133.52832,142.88704,99.54656,83.79104,71.36,68.66272,69.65824,62.78688,50.05376,51.4832
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Real N.J,,,,,,,,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,412,1268,729,985,769,876,809,840,766,773,773,744,755,731,708,729,702,653,629,648
2,90,345,195,304,239,305,287,326,327,342,338,362,384,399,395,404,421,419,452,431
3,965,691,860,736,798,744,771,710,743,693,703,714,719,700,737,677,701,670,692,679
4,382,1097,662,1018,829,971,942,1015,994,1056,1056,1142,1103,1140,1175,1220,1209,1275,1272,1333
5,554,180,441,290,391,341,367,349,366,398,406,423,404,449,403,444,427,459,449,452
6,504,76,396,222,344,293,337,313,358,343,415,411,451,476,498,516,535,556,609,672
7,798,254,700,468,725,657,792,815,937,950,1032,1151,1224,1405,1535,1635,1816,1994,2209,2429
8,547,93,345,200,275,240,289,251,287,254,252,228,247,235,254,246,262,243,250,252
9,739,536,635,571,613,586,585,543,567,529,542,554,526,553,555,545,590,543,573,525
10,894,526,806,665,803,740,855,818,867,848,935,979,1066,1076,1143,1236,1222,1285,1325,1472
11,574,688,618,703,672,767,734,727,799,788,865,859,901,950,971,999,996,1025,1048,1088
12,706,483,612,485,541,466,493,454,460,413,390,393,387,377,383,366,367,324,304,310
13,852,1312,903,1049,905,874,790,758,735,704,665,603,584,524,508,459,452,455,418,416
14,298,1005,535,708,560,592,507,503,446,442,413,379,329,345,275,278,258,250,252,238
15,695,1391,804,1018,837,847,722,678,571,548,524,459,439,387,350,320,287,279,237,214
16,791,1237,880,1002,765,827,655,691,584,627,561,540,494,461,404,403,357,333,314,306
17,979,1296,1013,1079,895,1020,903,908,831,794,717,708,708,636,615,583,580,516,530,509
18,901,718,638,527,432,425,348,298,252,215,190,160,139,114,115,85,67,59,61,41
19,741,954,643,652,470,444,380,322,280,244,208,188,141,128,112,96,79,67,56,51
20,224,1212,461,717,441,466,321,308,256,206,176,163,139,115,97,97,76,59,42,53
21,495,618,576,616,579,590,632,655,666,688,680,718,742,745,751,764,822,786,811,780
22,306,1238,580,975,713,935,780,857,815,836,838,808,798,805,788,794,780,777,779,768
23,46,454,160,298,207,227,185,187,170,152,152,133,137,108,124,113,110,88,89,81
24,785,755,651,620,517,502,403,410,331,328,264,265,233,215,176,157,132,122,124,97
25,663,586,539,511,453,427,357,356,304,279,248,213,200,183,150,137,121,122,100,123
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Estimated N.J,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,481.05856,1402.75936,832.30208,995.51104,914.90272,1039.15552,772.76,792.01536,829.53248,783.97088,854.00608,748.56672,723.87296,746.39584,844.97152,799.1472,841.9728,645.83968,661.14016,698.83232
2,79.384,369.12064,227.46112,280.30656,360.808,306.62048,392.00128,312.63392,349.8608,347.01056,383.37376,404.08096,445.53696,442.94752,368.616,509.6192,395.29024,458.93568,669.3168,433.36768
3,1176.95616,743.96832,943.45152,785.06688,865.78144,802.45152,840.14496,762.74688,760.42688,807.49952,656.8016,699.37888,803.77536,781.56128,794.68896,787.3424,819.3856,681.88224,811.50304,783.06976
4,545.95968,1377.42272,823.83104,1303.69792,854.18368,1053.33792,1077.16096,1234.26624,1160.3776,1298.40032,1198.90752,1375.70368,1318.38656,1174.64608,1244.91776,1570.69088,1313.3824,1492.368,1425.952,1549.98048
5,587.93696,215.99392,551.44736,385.7952,425.0624,378.47488,495.66496,334.20192,492.39616,449.05856,483.47808,400.96064,495.52448,438.35424,488.86016,559.48448,476.95584,490.13664,520.21376,482.00384
6,656.35744,112.21824,515.48416,252.768,416.28384,372.08768,395.03136,354.67744,450.2672,478.45664,500.6896,527.38592,524.75232,537.5584,639.88032,557.4288,561.96832,727.58624,591.552,866.50048
7,1433.91904,455.144,1186.41856,716.5088,1185.77408,1095.15296,1115.21632,1393.33664,1277.79488,1681.75872,1614.29088,1841.69664,1881.51552,2410.60416,2703.06112,2633.42432,3148.984,3139.80928,3570.2512,3619.12864
8,625.22592,100.53248,354.5712,254.3536,323.94848,290.6448,240.49824,229.61696,239.44064,287.74528,172.19232,238.90048,286.32384,222.99744,327.12288,262.8352,221.84288,242.41024,262.56448,250.04928
9,755.45088,488.24736,698.96864,467.99872,579.08576,502.58496,518.72096,468.94656,608.68544,412.02976,595.5424,456.95616,528.3728,476.3984,634.344,513.7776,710.496,527.58304,496.46624,366.56768
10,1005.32736,670.85696,935.69184,789.57504,1006.43392,983.07456,927.3104,973.81888,961.89248,990.97024,1065.07648,1164.75104,1275.73248,1303.46784,1374.54144,1395.52608,1445.9904,1365.30048,1674.41952,1703.08896
11,514.70688,722.2656,621.98976,717.88512,630.45504,776.08128,655.1552,693.99392,770.66592,717.56128,893.41056,877.58848,926.38912,829.30272,993.6496,888.48896,757.92576,951.85632,1141.79424,1031.13952
12,696.48224,430.67328,617.7072,446.99424,532.78688,437.13344,450.74624,384.48544,407.80608,414.08224,290.90432,352.64736,364.3744,346.95904,296.63872,390.15456,282.9808,253.05792,227.99232,254.30432
13,648.44064,936.94656,662.01152,764.96128,673.59392,579.456,562.664,593.37056,660.5344,459.34176,473.47264,413.49408,420.76544,375.35904,383.19424,305.73312,361.33632,291.32448,268.91136,267.81536
14,207.56736,699.8944,443.15456,544.1408,359.99488,432.10208,295.52128,306.31616,292.21408,344.44928,275.544,263.3392,211.2304,234.80128,237.24,163.29088,222.24128,121.27008,149.39168,192.24928
15,581.15072,980.74464,588.31936,658.32096,700.40576,691.48096,493.79808,499.33376,333.18976,434.99296,382.25536,302.32704,318.29792,261.63776,245.65632,197.49536,219.40064,220.47968,185.96096,122.15552
16,748.02944,1100.59616,843.12128,867.94496,644.7936,698.61632,510.60288,665.32992,555.61664,539.8832,540.66624,428.85152,437.29952,428.37376,345.40032,352.04128,315.40192,280.27488,303.42976,311.81888
17,849.70432,968.74016,820.04064,874.09984,655.58176,840.00288,721.5952,686.83296,704.06272,503.28224,518.10368,540.26016,514.49472,516.88416,567.95776,488.40288,482.38432,384.15232,455.19392,409.67424
18,516.45632,487.26592,358.28192,322.58048,276.91232,237.0416,211.0528,172.86144,144.32256,126.11648,109.9408,106.90624,64.14656,73.80608,73.37472,41.05408,64.57024,38.2304,45.1792,23.05248
19,431.4624,522.89888,336.59968,348.22656,257.5488,225.71296,217.6544,131.95616,125.5408,197.70912,93.408,129.85184,82.3968,84.17024,48.91968,53.57344,34.42112,50.1648,36.94432,10.50976
20,119.33504,746.0768,333.16224,372.32384,228.6496,241.89024,178.28096,218.58752,105.41184,139.4832,98.1216,91.99936,56.66592,75.96352,62.79328,47.89632,25.86304,39.9776,20.18656,50.35232
21,441.60928,599.1712,620.08576,553.7216,566.67456,495.17696,667.80736,644.90944,652.27904,556.9152,713.16768,689.82848,772.47456,723.18048,836.22944,760.4944,796.06688,766.06496,760.84,777.12192
22,376.9376,1258.19392,668.58016,880.8336,698.60384,918.904,788.8896,843.75072,838.65568,933.32704,751.39488,817.0848,825.82016,822.45856,829.75872,812.4784,812.09696,674.83872,707.23936,770.544
23,48.74304,367.016,114.65504,204.49696,203.47456,135.18784,223.09536,102.90656,134.69728,87.52256,127.62048,79.39712,109.82496,126.7584,75.02432,107.71744,81.12224,58.01056,79.78208,78.80768
24,583.7648,461.36448,437.86976,435.33248,356.49184,327.7744,233.2512,299.61888,239.29632,162.30816,177.38592,211.75104,156.19136,185.4032,68.32704,113.1232,96.63808,87.82464,111.71744,67.52128
25,419.35232,405.96736,428.90944,320.1312,314.6448,227.6208,242.77504,260.70944,236.6352,223.59648,238.42368,107.1392,131.54336,108.21088,115.77248,109.73728,99.22016,63.87136,77.80608,122.38624
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mean R Bias by year,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
1,0.039842138,,,,,,,,,,,,,,,,,,,
2,0.068229549,,,,,,,,,,,,,,,,,,,
3,0.155632166,,,,,,,,,,,,,,,,,,,
4,0.118948792,,,,,,,,,,,,,,,,,,,
5,0.123860916,,,,,,,,,,,,,,,,,,,
6,0.139300627,,,,,,,,,,,,,,,,,,,
7,0.155255763,,,,,,,,,,,,,,,,,,,
8,0.115599546,,,,,,,,,,,,,,,,,,,
9,0.062858408,,,,,,,,,,,,,,,,,,,
10,0.096902272,,,,,,,,,,,,,,,,,,,
11,0.118312756,,,,,,,,,,,,,,,,,,,
12,0.072236727,,,,,,,,,,,,,,,,,,,
13,0.035718224,,,,,,,,,,,,,,,,,,,
14,0.055540124,,,,,,,,,,,,,,,,,,,
15,0.102279799,,,,,,,,,,,,,,,,,,,
16,0.116274872,,,,,,,,,,,,,,,,,,,
17,0.161827537,,,,,,,,,,,,,,,,,,,
18,0.040827688,,,,,,,,,,,,,,,,,,,
19,0.016372865,,,,,,,,,,,,,,,,,,,
