3,-8.3568,-31.68736,-23.60608,-22.48896,-26.85568,-20.65856,-16.52096,-18.09376,-26.30976,-22.26816,-20.29568,-6.72832,-12.76736,13.8912,19.09504,39.98752
4,38.26272,8.36416,23.30752,30.50752,19.21568,40.7184,32.29472,33.87008,34.4416,44.23584,47.78816,42.7248,26.84576,39.65632,36.53568,38.63552
5,63.26304,37.95168,40.15488,43.69376,42.57088,57.57824,63.94944,52.59552,49.47968,54.17024,52.68288,77.2416,51.46784,86.87456,84.37888,89.89728
6,56.39936,125.2544,75.8352,98.17824,62.1056,75.0464,68.8272,54.49664,43.08896,41.85824,40.17728,47.83648,34.33472,41.4848,38.01344,41.18944
7,21.45888,80.52224,35.47008,48.0448,17.69376,41.24224,22.52544,65.56768,33.3136,69.7792,52.48576,50.56192,36.93024,44.75936,21.4928,42.40032
8,-333.00864,-371.9568,-349.16608,-455.3664,-501.53088,-531.688,-528.67072,-626.12928,-695.80768,-762.66464,-825.57632,-918.5104,-1047.25856,-1186.3888,-1240.55328,-1216.51552
9,-12.9776,6.16736,13.04768,8.07488,10.44352,-3.64448,17.13056,23.37056,15.2336,33.35968,18.68288,31.81152,54.8448,22.31488,40.66816,39.05984
10,57.7072,74.86304,54.94656,93.64384,40.46752,84.15616,65.22912,75.04832,72.87232,49.79776,45.3568,53.87936,36.25728,56.20992,40.83808,50.0128
11,212.13344,166.53728,219.06656,142.17024,153.50368,166.50432,163.32384,163.45632,137.96096,141.3936,138.24512,127.28544,136.63456,122.5632,135.59744,104.75456
12,-8.1264,19.76064,13.5584,22.0032,14.47552,36.1408,35.38048,58.9424,36.00608,35.5136,24.71232,18.30912,9.88384,-7.712,16.7584,15.69696
13,39.4304,0.07808,43.86816,28.45824,14.60896,40.5296,93.21504,42.2336,92.36416,63.26528,110.95936,125.10112,72.90912,102.38912,41.89696,86.17472
14,34.92416,37.65888,50.64192,36.16416,31.59232,67.09056,72.2848,82.17536,75.61184,82.58464,61.49536,40.368,61.95872,70.93984,70.25344,89.3952
15,87.62368,42.19424,75.71488,72.50432,96.54368,125.63328,121.09152,110.32672,104.62464,105.99264,127.29472,121.42816,102.44096,108.03232,94.5984,87.91552
16,52.83968,93.128,36.90848,70.1088,29.23744,87.65888,60.47104,80.57024,44.64032,60.1536,41.28288,60.35872,28.08832,50.90688,33.2176,38.45728
17,152.3232,147.57312,128.11936,122.4896,116.30848,153.39552,187.57312,204.49376,195.54048,165.65088,158.74112,161.62368,145.71584,110.89376,161.52192,169.77792
18,190.16448,67.95904,108.98176,62.32576,57.5808,65.17376,94.496,83.8288,106.76736,100.31104,111.96288,100.5936,97.21376,109.3808,134.208,126.52672
19,162.16736,114.21088,110.26688,114.95264,94.5584,118.41216,112.64832,94.22016,89.92512,87.89024,99.1296,101.07008,75.45088,117.46464,107.82336,108.53024
20,170.97344,62.87936,123.5328,128.50048,89.56736,97.6352,131.86496,122.20544,126.58464,134.94016,130.37504,110.39616,118.93248,127.30016,143.44352,145.08352
21,63.45152,48.97568,57.31232,57.0448,6.9056,54.56864,63.01344,70.59136,98.62784,69.67584,43.45568,93.51904,72.93152,81.57184,118.02016,192.15264
22,25.37216,23.06656,82.46048,11.24,48.056,39.70208,79.8768,72.98496,65.75264,60.75904,44.44192,56.95296,65.00928,71.05376,63.60192,82.18912
23,24.85568,140.27104,73.34016,126.09792,87.2864,92.23424,68.41248,80.68032,79.20896,93.22592,69.87872,74.9664,62.51456,67.92832,82.17536,57.73728
24,124.33216,74.07808,124.04224,67.08032,98.5552,76.728,78.0368,79.69088,87.69248,73.82144,70.60128,64.40704,72.89568,60.43904,69.69216,39.88608
25,117.23232,29.26848,89.36768,58.06752,91.85408,82.40256,91.26848,94.35808,103.48352,90.36096,90.13248,76.44224,112.28384,96.86496,110.19552,79.35872
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Bias by Year (absolute value) - N.J,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
V1,140.7211904,,,,,,,,,,,,,,,
V2,169.2358784,,,,,,,,,,,,,,,
V3,150.6319872,,,,,,,,,,,,,,,
V4,144.8047232,,,,,,,,,,,,,,,
V5,169.0094208,,,,,,,,,,,,,,,
V6,180.1783808,,,,,,,,,,,,,,,
V7,170.022272,,,,,,,,,,,,,,,
V8,186.4770304,,,,,,,,,,,,,,,
V9,175.9839104,,,,,,,,,,,,,,,
V10,180.1985152,,,,,,,,,,,,,,,
V11,187.6243072,,,,,,,,,,,,,,,
V12,188.6836608,,,,,,,,,,,,,,,
V13,195.8048512,,,,,,,,,,,,,,,
V14,204.2985344,,,,,,,,,,,,,,,
V15,201.2595968,,,,,,,,,,,,,,,
V16,239.1504384,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Real N.A,,,,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1,154,319,201,241,181,190,173,151,161,158,151,128,129,96,111,106
2,722,672,759,731,755,782,825,836,921,878,926,931,1048,1049,1113,1059
3,39,120,66,119,94,130,133,154,161,188,208,250,262,326,345,375
4,173,134,180,183,186,200,200,191,211,208,219,225,208,230,239,228
5,355,191,293,249,292,291,305,304,313,322,323,352,337,368,382,357
6,118,285,156,209,134,153,130,110,95,92,83,93,70,77,64,68
7,376,501,450,506,483,516,510,571,559,603,611,632,659,649,694,667
8,590,666,786,811,906,1020,1128,1274,1416,1566,1735,1966,2132,2330,2682,2833
9,206,195,229,215,252,227,261,281,289,316,299,332,359,349,376,370
10,104,294,168,280,175,256,198,241,221,201,191,199,167,196,168,172
11,585,490,573,467,498,485,481,456,441,425,404,400,376,370,365,322
12,129,149,154,169,168,189,199,232,235,240,236,237,238,236,269,251
13,909,637,891,802,919,928,1034,1050,1158,1176,1279,1398,1363,1501,1473,1499
14,362,239,339,288,313,340,338,371,370,381,365,348,373,399,406,404
15,655,354,526,450,514,522,549,520,555,540,569,570,555,578,569,543
16,160,370,220,350,256,365,307,361,316,350,308,358,299,346,318,320
17,818,616,757,701,761,781,820,855,873,835,847,868,848,798,879,837
18,727,268,539,345,442,368,430,404,450,420,452,437,450,462,504,488
19,425,344,339,335,291,305,294,269,264,254,250,253,217,259,236,243
20,695,407,597,557,565,560,592,622,618,654,636,633,627,638,673,627
21,921,695,885,836,863,918,936,995,1053,1069,1076,1175,1223,1256,1345,1389
22,504,474,576,521,594,592,637,677,685,728,695,800,791,861,826,855
23,84,413,196,330,229,264,201,229,207,219,186,197,170,177,186,148
24,362,196,293,190,226,185,182,169,180,157,148,144,150,142,157,111
25,506,163,378,245,338,276,318,293,345,298,313,290,326,306,330,291
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Estimated N.A,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,108.19104,208.5392,129.99616,168.99488,125.38592,130.2944,105.01984,100.40576,98.09472,91.20192,91.67776,83.5984,74.58464,68.09056,64.66816,68.28896
2,592.4096,586.7808,644.22752,640.4096,686.53056,680.95584,686.34592,708.74432,758.53728,747.90208,775.61888,801.23392,819.55968,851.04256,873.6192,837.75136
3,47.3568,151.68736,89.60608,141.48896,120.85568,150.65856,149.52096,172.09376,187.30976,210.26816,228.29568,256.72832,274.76736,312.1088,325.90496,335.01248
4,134.73728,125.63584,156.69248,152.49248,166.78432,159.2816,167.70528,157.12992,176.5584,163.76416,171.21184,182.2752,181.15424,190.34368,202.46432,189.36448
5,291.73696,153.04832,252.84512,205.30624,249.42912,233.42176,241.05056,251.40448,263.52032,267.82976,270.31712,274.7584,285.53216,281.12544,297.62112,267.10272
6,61.60064,159.7456,80.1648,110.82176,71.8944,77.9536,61.1728,55.50336,51.91104,50.14176,42.82272,45.16352,35.66528,35.5152,25.98656,26.81056
7,354.54112,420.47776,414.52992,457.9552,465.30624,474.75776,487.47456,505.43232,525.6864,533.2208,558.51424,581.43808,622.06976,604.24064,672.5072,624.59968
8,923.00864,1037.9568,1135.16608,1266.3664,1407.53088,1551.688,1656.67072,1900.12928,2111.80768,2328.66464,2560.57632,2884.5104,3179.25856,3516.3888,3922.55328,4049.51552
9,218.9776,188.83264,215.95232,206.92512,241.55648,230.64448,243.86944,257.62944,273.7664,282.64032,280.31712,300.18848,304.1552,326.68512,335.33184,330.94016
10,46.2928,219.13696,113.05344,186.35616,134.53248,171.84384,132.77088,165.95168,148.12768,151.20224,145.6432,145.12064,130.74272,139.79008,127.16192,121.9872
11,372.86656,323.46272,353.93344,324.82976,344.49632,318.49568,317.67616,292.54368,303.03904,283.6064,265.75488,272.71456,239.36544,247.4368,229.40256,217.24544
12,137.1264,129.23936,140.4416,146.9968,153.52448,152.8592,163.61952,173.0576,198.99392,204.4864,211.28768,218.69088,228.11616,243.712,252.2416,235.30304
13,869.5696,636.92192,847.13184,773.54176,904.39104,887.4704,940.78496,1007.7664,1065.63584,1112.73472,1168.04064,1272.89888,1290.09088,1398.61088,1431.10304,1412.82528
14,327.07584,201.34112,288.35808,251.83584,281.40768,272.90944,265.7152,288.82464,294.38816,298.41536,303.50464,307.632,311.04128,328.06016,335.74656,314.6048
15,567.37632,311.80576,450.28512,377.49568,417.45632,396.36672,427.90848,409.67328,450.37536,434.00736,441.70528,448.57184,452.55904,469.96768,474.4016,455.08448
16,107.16032,276.872,183.09152,279.8912,226.76256,277.34112,246.52896,280.42976,271.35968,289.8464,266.71712,297.64128,270.91168,295.09312,284.7824,281.54272
17,665.6768,468.42688,628.88064,578.5104,644.69152,627.60448,632.42688,650.50624,677.45952,669.34912,688.25888,706.37632,702.28416,687.10624,717.47808,667.22208
18,536.83552,200.04096,430.01824,282.67424,384.4192,302.82624,335.504,320.1712,343.23264,319.68896,340.03712,336.4064,352.78624,352.6192,369.792,361.47328
19,262.83264,229.78912,228.73312,220.04736,196.4416,186.58784,181.35168,174.77984,174.07488,166.10976,150.8704,151.92992,141.54912,141.53536,128.17664,134.46976
20,524.02656,344.12064,473.4672,428.49952,475.43264,462.3648,460.13504,499.79456,491.41536,519.05984,505.62496,522.60384,508.06752,510.69984,529.55648,481.91648
21,857.54848,646.02432,827.68768,778.9552,856.0944,863.43136,872.98656,924.40864,954.37216,999.32416,1032.54432,1081.48096,1150.06848,1174.42816,1226.97984,1196.84736
22,478.62784,450.93344,493.53952,509.76,545.944,552.29792,557.1232,604.01504,619.24736,667.24096,650.55808,743.04704,725.99072,789.94624,762.39808,772.81088
23,59.14432,272.72896,122.65984,203.90208,141.7136,171.76576,132.58752,148.31968,127.79104,125.77408,116.12128,122.0336,107.48544,109.07168,103.82464,90.26272
24,237.66784,121.92192,168.95776,122.91968,127.4448,108.272,103.9632,89.30912,92.30752,83.17856,77.39872,79.59296,77.10432,81.56096,87.30784,71.11392
25,388.76768,133.73152,288.63232,186.93248,246.14592,193.59744,226.73152,198.64192,241.51648,207.63904,222.86752,213.55776,213.71616,209.13504,219.80448,211.64128
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Real N.J,,,,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1,693,243,481,306,363,271,267,305,228,234,222,214,164,194,137,166
2,940,1101,1002,1139,1112,1215,1216,1320,1195,1335,1285,1462,1410,1588,1445,1796
3,234,47,180,100,172,151,200,208,232,238,308,309,392,423,473,550
4,174,276,230,299,306,279,266,310,283,310,336,302,328,330,338,382
5,136,528,297,464,420,491,448,520,467,466,510,497,550,551,503,571
6,667,191,452,235,327,208,198,198,138,150,157,135,147,108,117,90
7,748,579,752,657,744,741,769,821,879,832,894,937,959,1011,852,1126
8,866,926,942,1142,1254,1385,1623,1829,1923,2093,2446,2626,2893,3316,3330,4142
9,298,333,296,357,330,400,363,425,452,432,469,498,519,563,530,603
10,632,158,491,239,483,277,418,316,342,320,307,291,308,246,284,272
11,672,918,738,830,758,804,796,758,724,658,677,612,595,577,456,571
12,220,202,231,234,263,253,301,302,367,337,359,340,329,368,328,458
13,670,1345,944,1362,1250,1422,1379,1652,1558,1712,1877,1848,2120,2010,2041,2318
14,209,574,386,505,460,475,523,538,506,503,522,528,519,570,574,627
15,301,930,564,788,703,793,820,893,788,832,797,877,875,860,854,859
16,676,232,631,329,592,352,550,471,541,442,543,435,581,449,501,518
17,676,1260,921,1146,1137,1199,1220,1257,1231,1301,1302,1206,1253,1367,1143,1334
18,26,1093,402,794,540,675,574,679,618,646,635,704,691,691,664,776
19,539,603,511,531,509,427,440,463,432,409,380,358,386,352,407,348
20,397,1088,677,884,819,866,891,961,964,933,994,941,941,952,899,1039
21,727,1397,1020,1270,1366,1332,1411,1495,1436,1497,1721,1710,1760,1881,1827,2133
22,645,803,677,854,794,945,925,1012,1008,975,1132,1041,1209,1238,1155,1285
23,952,125,655,290,475,332,408,309,343,291,344,283,318,277,245,306
24,243,589,273,436,286,314,270,303,236,255,244,233,207,253,213,226
25,27,757,263,589,363,534,420,523,419,472,462,487,445,559,407,474
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Estimated N.J,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,436.81248,142.05984,286.43744,179.64096,231.69952,153.97312,179.04576,154.9056,136.72544,133.4224,130.92224,124.29184,107.95104,99.17248,90.168,90.11648
2,794.57248,851.00576,815.30432,942.24832,905.11136,899.30528,960.81824,1028.75552,983.47328,1040.00416,1064.03328,1078.56032,1129.95264,1170.94368,1074.32928,1256.08736
3,276.19456,61.74496,215.0656,130.47264,197.32064,162.6736,216.68352,226.56224,248.29024,261.8128,312.68704,331.2848,374.32032,389.59136,408.8576,461.80064
4,167.848,209.16832,177.83776,238.72416,211.27136,224.3968,215.65248,250.0112,207.33088,236.71648,237.8112,231.54592,258.8672,267.71296,245.0048,297.08512
5,100.76928,413.3024,215.85728,365.50688,294.18496,323.25504,339,357.28704,352.34752,355.91648,371.65408,395.90496,372.83744,403.09856,353.5424,434.46656
6,337.85024,84.78592,220.39328,107.4656,158.8384,88.77856,102.6896,96.58496,74.06272,69.336,73.43104,56.75296,64.90656,46.64288,49.35648,33.40384
7,561.67136,508.22144,606.33472,600.7616,636.7728,619.92864,662.99776,712.52512,698.9808,713.28928,749.0544,792.61312,784.14944,895.4624,755.58176,964.56576
8,1259.00448,1299.57152,1462.24032,1630.20992,1783.46272,1860.67968,2239.31584,2471.76832,2669.82496,2902.53504,3377.30784,3655.70304,4050.25024,4550.48416,4460.30912,5600.27616
9,237.22592,301.51456,262.336,318.54976,294.88768,317.98816,322.54784,362.18656,362.53568,366.83008,402.03008,396.9872,429.00064,436.3248,416.13632,476.10432
10,438.49856,69.9776,313.74528,163.9424,269.0656,171.96416,255.4768,194.81984,233.896,202.08416,211.6224,195.03968,205.71552,182.5744,177.432,178.10944
11,441.52512,525.81792,456.7504,517.79936,468.21344,457.63456,444.46816,475.39392,409.25024,408.6608,412.05152,360.80416,389.60288,340.16416,306.5008,319.38112
12,145.87136,187.99552,191.2848,202.12896,203.696,203.00288,213.20608,252.10048,249.66752,273.69696,295.75616,299.34176,309.25504,316.1152,300.87392,370.43584
13,599.9552,1207.37024,895.2272,1219.38944,1087.19808,1191.42496,1274.16416,1376.37952,1406.54528,1465.49152,1621.09216,1616.568,1814.4656,1843.23136,1761.59072,2011.79744
14,156.4144,457.0768,294.57152,412.4368,356.18464,356.92064,391.17728,397.15488,399.33568,405.07392,424.07776,423.27392,432.9664,442.24704,402.1776,482.14816
15,258.42688,764.97696,438.26176,631.79232,532.55744,560.272,553.77472,638.10592,574.6768,610.25184,609.86112,619.32352,624.7312,641.43968,600.89056,664.7184
16,438.75488,152.52704,420.7072,257.7392,412.79808,291.26304,401.9072,364.99616,391.29504,359.1312,421.19904,360.09824,425.74592,379.70144,373.81408,398.36544
17,429.248,942.72576,692.3312,914.84032,834.0608,844.0528,883.4512,923.99296,896.8048,934.41312,954.89216,944.29504,968.36512,998.57824,859.63104,1013.8208
18,11.6496,763.6032,280.23264,619.70496,383.82272,502.77792,433.93184,492.9584,434.94048,467.48416,453.29632,490.7616,467.24064,509.11008,458.1824,529.33664
19,347.37664,358.69504,319.78336,312.24032,295.06272,247.4464,259.0992,270.55712,254.41696,230.24384,234.4208,214.55744,211.5136,194.01536,197.31392,179.12096
20,314.27456,737.41952,495.76576,690.41152,612.70912,621.47744,670.92896,672.29408,715.73216,658.296,737.17728,699.98912,733.48992,728.39808,638.07328,759.59168
21,643.77888,1203.83968,924.81888,1203.11264,1119.0784,1118.61152,1239.43168,1287.88608,1284.53728,1294.25024,1419.30144,1490.24288,1518.6896,1644.73248,1511.128,1732.23008
22,576.71968,663.34272,644.35904,712.03488,715.05344,720.66368,797.97056,820.8784,854.60704,823.44,988.2192,912.51584,1056.22496,1013.83776,998.33024,1068.33504
23,601.93152,76.41888,378.58464,184.85056,289.20896,183.69856,243.46176,193.94176,201.31264,176.66592,182.3104,160.51424,169.2784,156.73312,136.87648,158.38912
24,117.4544,324.8368,168.31712,227.91296,165.04224,168.90272,140.31296,155.32224,122.44512,121.91616,121.01184,111.82976,119.2736,118.73152,108.30784,123.33056
25,26.53984,535.7376,184.26464,413.33056,253.03008,320.15488,269.92832,351.36704,273.59808,323.77024,299.16128,298.0848,299.58528,326.46176,267.71968,304.7744
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mean R Bias by year,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
1,0.124985792,,,,,,,,,,,,,,,
2,0.089642439,,,,,,,,,,,,,,,
3,0.069798943,,,,,,,,,,,,,,,
4,0.150707857,,,,,,,,,,,,,,,
5,0.232157887,,,,,,,,,,,,,,,
6,0.103013282,,,,,,,,,,,,,,,
7,0.10176993,,,,,,,,,,,,,,,
8,0.092419606,,,,,,,,,,,,,,,
9,0.104973564,,,,,,,,,,,,,,,
10,0.098033087,,,,,,,,,,,,,,,
11,0.089124121,,,,,,,,,,,,,,,
12,0.090144439,,,,,,,,,,,,,,,
13,0.109053302,,,,,,,,,,,,,,,
14,0.146230479,,,,,,,,,,,,,,,
15,0.137615823,,,,,,,,,,,,,,,
